TenantId,TenantName,SubscriptionId,SubscriptionName,ResourceId,ResourceName,ResourceType,ResourceGroup,Location,ServiceType,PricingCategory,AnalysisType,AnalysisMethod,MetricSource,PropertySource,RuleEvaluationMode,RecommendationAction,ActionLabel,ActionSummary,ActionCategory,IsActionable,IsDestructive,RecommendationPractice,CombinedPractice,RecommendationReason,Priority,Confidence,PrimaryRuleType,PrimaryMetric,PrimaryMetricValue,PrimaryProperty,PrimaryPropertyValue,PrimaryPropertyRule,MetricPattern,MetricDataPoints,MetricExpectedDataPoints,MetricCoverageRatio,MetricCoverageStatus,WithheldReason,HeldBackFrom,SavingsStatus,EstimatedMonthlyCostIncrease,EstimatedAnnualCostIncrease,RiskAdjustedMonthlySavings,RiskAdjustedAnnualSavings,SavingsMethod,TargetSku,TargetSkuStatus,SecondaryAction,SecondaryActionLabel,SecondaryMonthlySavings,SecondaryAnnualSavings,CurrentSku,CurrentVCpus,CurrentMemoryGB,TargetVCpus,TargetMemoryGB,TargetOptions,MetricInterval,PowerState,CurrentMonthToDateCost,DailyRunRate,ClosedMonthDailyAverage,CostIncreaseMethod,CostCurrency,CostLookbackMonths,PeriodCost,MetricPointCount,PropertyCondition,MetricCollectionStatus,ConfiguredMetricCount,AvailableMetricCount,MissingMetricCount,MissingMetrics,HasMetricAnalysis,HasPropertyAnalysis,MetricAverage,ObservedPeak,MetricStandardDeviation,MetricCoefficientOfVariation,TenantsExpected,TenantsSucceeded,TenantsFailed,TriggeredRulesCount,PropertyRulesCount,TriggeredRules,TriggeredMetricRules,TriggeredPropertyRules,MetricAnalysis,PropertyAnalysis,MetricAnalysisAvailable,PropertyAnalysisAvailable,MonthlyCost,AnnualCost,EstimatedMonthlySavings,EstimatedAnnualSavings,SavingsMultiplier,ConfidenceWeight,CostSource,SavingsCalculationMethod,Tags,TagOwner,TagApplication,TagEnvironment,TagCostCenter,MonthsAvailable,CostCoverageStatus,SavingsReliability,RunId,RunStartedAt,EngineVersion,ProcessingStatus,Error,rundate
2edfff6f-b944-565c-b6da-b0105499d191,NORTHSTAR-CLOUD,b8acb44b-4a49-5405-a38f-464fa1120382,SUB-NORTHSTAR-001,/subscriptions/b8acb44b-4a49-5405-a38f-464fa1120382/resourceGroups/rg-prod-0001/providers/microsoft.apimanagement/gateways/api-management-gateway-0001-00001,api-management-gateway-0001-00001,microsoft.apimanagement/gateways,rg-prod-0001,brazilsouth,API Management Gateway,API_MANAGEMENT_GATEWAY,METRIC,METRIC_ANALYSIS,AZURE_MONITOR,NOT_APPLICABLE,ALL_RULES,Optimize-Tier,Optimize service tier,Move to a lower-cost tier aligned with observed demand,TIER_OPTIMIZATION,true,False,WELL_ARCHITECTED_COST_OPTIMIZATION,FINOPS+WAF_COST,Move to a lower-cost tier aligned with observed demand,MEDIUM,MEDIUM,METRIC,MemoryUtilization,28.46,,,,VARIABLE,3689,4320,0.933,PARTIAL,,,CALCULATED,0.0,0.0,2122.16,25465.88,HEURISTIC_PERCENTAGE,,NOT_APPLICABLE,,,0.0,0.0,GP_Gen5_8,8,40.0,,,,PT30M,,3159.05,263.25,259.79,,USD,3,23692.86,3689,,PARTIAL,2,1,1,Metric1,true,False,28.46,53.8,8.18,0.287,3,3,,1,0,"[{""Rule"":""TIER_OPTIMIZATION_RULE"",""Result"":""TRIGGERED""}]","[{""Rule"":""TIER_OPTIMIZATION_RULE"",""Result"":""TRIGGERED""}]",[],"{""Average"":28.46,""Peak"":53.8,""Coverage"":0.933,""Pattern"":""VARIABLE""}",{},true,false,7897.62,94771.44,2947.44,35369.28,0.3732,0.72,COST_MANAGEMENT,HEURISTIC,"{""Owner"":""security"",""Application"":""analytics-platform"",""Environment"":""prod"",""CostCenter"":""CC3005"",""ManagedBy"":""FinOpsInsightEngine""}",security,analytics-platform,prod,CC3005,3,FULL,HEURISTIC,run-20260906-official-001,2026-09-06T03:00:00Z,6.2.8,SUCCESS,,2026-09-06
2edfff6f-b944-565c-b6da-b0105499d191,NORTHSTAR-CLOUD,1c079981-a868-54f6-96c7-1cd448f63b4d,SUB-NORTHSTAR-002,/subscriptions/1c079981-a868-54f6-96c7-1cd448f63b4d/resourceGroups/rg-nonprod-0002/providers/microsoft.apimanagement/gateways/api-management-gateway-0002-00002,api-management-gateway-0002-00002,microsoft.apimanagement/gateways,rg-nonprod-0002,centralus,API Management Gateway,API_MANAGEMENT_GATEWAY,METRIC,METRIC_ANALYSIS,AZURE_MONITOR,NOT_APPLICABLE,ALL_RULES,No-Action,No action needed,Utilization and cost are within expected operating range,NO_ACTION,false,False,WELL_ARCHITECTED_COST_OPTIMIZATION,FINOPS+WAF_COST,Resource shows optimization opportunity based on current utilization,LOW,MEDIUM,METRIC,MemoryUtilization,22.5,,,,VARIABLE,4030,4320,0.994,COMPLETE,,,NO_SAVINGS,0.0,0.0,0.00,0.00,TARGET_PRICE_DIFFERENCE,,NOT_APPLICABLE,,,0.0,0.0,GP_Gen5_8,8,40.0,,,,PT30M,,4941.31,411.78,406.36,,USD,3,37059.84,4030,,COMPLETE,2,2,0,,true,False,22.5,33.12,13.62,0.605,3,3,,1,0,"[{""Rule"":""OPTIMIZE_RULE"",""Result"":""TRIGGERED""}]","[{""Rule"":""OPTIMIZE_RULE"",""Result"":""TRIGGERED""}]",[],"{""Average"":22.5,""Peak"":33.12,""Coverage"":0.994,""Pattern"":""VARIABLE""}",{},true,false,12353.28,148239.36,0.00,0.00,0.0000,0.72,COST_MANAGEMENT,PRICE_LOOKUP,"{""Owner"":""operations"",""Application"":""analytics-platform"",""Environment"":""nonprod"",""CostCenter"":""CC3016"",""ManagedBy"":""FinOpsInsightEngine""}",operations,analytics-platform,nonprod,CC3016,3,FULL,PRICED,run-20260906-official-001,2026-09-06T03:00:00Z,6.2.8,SUCCESS,,2026-09-06
2edfff6f-b944-565c-b6da-b0105499d191,NORTHSTAR-CLOUD,f0ac1eec-b3d4-5ea4-b501-d3a1dce6c052,SUB-NORTHSTAR-003,/subscriptions/f0ac1eec-b3d4-5ea4-b501-d3a1dce6c052/resourceGroups/rg-dev-0003/providers/microsoft.apimanagement/gateways/api-management-gateway-0003-00003,api-management-gateway-0003-00003,microsoft.apimanagement/gateways,rg-dev-0003,westus3,API Management Gateway,API_MANAGEMENT_GATEWAY,METRIC,METRIC_ANALYSIS,AZURE_MONITOR,NOT_APPLICABLE,ALL_RULES,No-Action,No action needed,Utilization and cost are within expected operating range,NO_ACTION,false,True,WELL_ARCHITECTED_COST_OPTIMIZATION,FINOPS+WAF_COST,Review for shutdown or decommission due to low usage,LOW,LOW,METRIC,Percentage CPU,13.44,,,,VARIABLE,4026,4320,0.961,COMPLETE,,,NO_SAVINGS,0.0,0.0,0.00,0.00,TARGET_PRICE_DIFFERENCE,,NOT_APPLICABLE,Downsize,Alternative: downsize resource,929.33,11151.96,GP_Gen5_8,8,40.0,,,,PT30M,,1835.42,152.95,150.94,,USD,3,13765.65,4026,,COMPLETE,3,3,0,,true,False,13.44,33.64,11.1,0.826,3,3,,1,0,"[{""Rule"":""DECOMMISSION_RULE"",""Result"":""TRIGGERED""}]","[{""Rule"":""DECOMMISSION_RULE"",""Result"":""TRIGGERED""}]",[],"{""Average"":13.44,""Peak"":33.64,""Coverage"":0.961,""Pattern"":""VARIABLE""}",{},true,false,4588.55,55062.60,0.00,0.00,0.0000,0.5,COST_MANAGEMENT,PRICE_LOOKUP,"{""Owner"":""data-ai"",""Application"":""commerce-api"",""Environment"":""dev"",""CostCenter"":""CC3013"",""ManagedBy"":""FinOpsInsightEngine""}",data-ai,commerce-api,dev,CC3013,3,FULL,PRICED,run-20260906-official-001,2026-09-06T03:00:00Z,6.2.8,SUCCESS,,2026-09-06
2edfff6f-b944-565c-b6da-b0105499d191,NORTHSTAR-CLOUD,2b3f0224-cd1f-5305-a0ec-2e0b836c2435,SUB-NORTHSTAR-004,/subscriptions/2b3f0224-cd1f-5305-a0ec-2e0b836c2435/resourceGroups/rg-qa-0004/providers/microsoft.apimanagement/gateways/api-management-gateway-0004-00004,api-management-gateway-0004-00004,microsoft.apimanagement/gateways,rg-qa-0004,centralus,API Management Gateway,API_MANAGEMENT_GATEWAY,METRIC,METRIC_ANALYSIS,AZURE_MONITOR,NOT_APPLICABLE,ALL_RULES,No-Action,No action needed,Utilization and cost are within expected operating range,NO_ACTION,false,False,WELL_ARCHITECTED_COST_OPTIMIZATION,FINOPS+WAF_COST,Utilization and cost are within expected operating range,LOW,MEDIUM,METRIC,Transactions,58.41,,,,STABLE,3633,4320,0.92,PARTIAL,,,NO_SAVINGS,0.0,0.0,0.00,0.00,TARGET_PRICE_DIFFERENCE,,NOT_APPLICABLE,,,0.0,0.0,Standard_D2s_v5,2,8.0,,,,PT30M,,4635.26,386.27,381.19,,USD,3,34764.45,3633,,PARTIAL,6,2,4,"Metric1,Metric2,Metric3,Metric4",true,False,58.41,81.46,4.68,0.080,3,3,,0,0,[],[],[],"{""Average"":58.41,""Peak"":81.46,""Coverage"":0.92,""Pattern"":""STABLE""}",{},true,false,11588.15,139057.80,0.00,0.00,0.0000,0.72,COST_MANAGEMENT,PRICE_LOOKUP,"{""Owner"":""analytics"",""Application"":""identity"",""Environment"":""qa"",""CostCenter"":""CC3010"",""ManagedBy"":""FinOpsInsightEngine""}",analytics,identity,qa,CC3010,3,FULL,PRICED,run-20260906-official-001,2026-09-06T03:00:00Z,6.2.8,SUCCESS,,2026-09-06
2edfff6f-b944-565c-b6da-b0105499d191,NORTHSTAR-CLOUD,3b10ab8a-e157-5d07-984f-7e512fc3a495,SUB-NORTHSTAR-005,/subscriptions/3b10ab8a-e157-5d07-984f-7e512fc3a495/resourceGroups/rg-shared-0173/providers/microsoft.apimanagement/gateways/api-management-gateway-0005-00005,api-management-gateway-0005-00005,microsoft.apimanagement/gateways,rg-shared-0173,brazilsouth,API Management Gateway,API_MANAGEMENT_GATEWAY,METRIC,METRIC_ANALYSIS,AZURE_MONITOR,NOT_APPLICABLE,ALL_RULES,Review-Utilization,Review utilization,Resource shows optimization opportunity based on current utilization,OPTIMIZE,true,False,WELL_ARCHITECTED_COST_OPTIMIZATION,FINOPS+WAF_COST,Resource shows optimization opportunity based on current utilization,LOW,HIGH,METRIC,Percentage CPU,34.41,,,,VARIABLE,3991,4320,0.913,PARTIAL,,,UNPRICED,0.0,0.0,0.00,0.00,HEURISTIC_PERCENTAGE,Mock_2vCPU_10GB,RESOLVED,,,0.0,0.0,GP_Gen5_4,4,20.0,2,10.0,"[{""Profile"":""Conservative"",""TargetUtilizationPct"":65,""TargetSku"":""Mock_2vCPU_10GB"",""TargetVCpus"":2,""TargetMemoryGB"":10.0,""ProjectedPeakPct"":62.6,""MonthlySavings"":346.41,""PerformanceRisk"":""Low"",""Status"":""RESOLVED""},{""Profile"":""Moderate"",""TargetUtilizationPct"":72,""TargetSku"":""Mock_2vCPU_10GB"",""TargetVCpus"":2,""TargetMemoryGB"":10.0,""ProjectedPeakPct"":71.7,""MonthlySavings"":433.02,""PerformanceRisk"":""Medium"",""Status"":""RESOLVED""},{""Profile"":""Aggressive"",""TargetUtilizationPct"":80,""TargetSku"":""Mock_1vCPU_5GB"",""TargetVCpus"":1,""TargetMemoryGB"":5.0,""ProjectedPeakPct"":74.1,""MonthlySavings"":538.86,""PerformanceRisk"":""High"",""Status"":""RESOLVED""}]",PT30M,,1603.76,133.65,131.89,,USD,3,12028.23,3991,,PARTIAL,3,1,2,"Metric1,Metric2",true,False,34.41,41.44,10.51,0.305,3,3,,1,0,"[{""Rule"":""OPTIMIZE_RULE"",""Result"":""TRIGGERED""}]","[{""Rule"":""OPTIMIZE_RULE"",""Result"":""TRIGGERED""}]",[],"{""Average"":34.41,""Peak"":41.44,""Coverage"":0.913,""Pattern"":""VARIABLE""}",{},true,false,4009.41,48112.92,0.00,0.00,0.0000,0.9,COST_MANAGEMENT,UNPRICED,"{""Owner"":""integration"",""Application"":""identity"",""Environment"":""shared"",""CostCenter"":""CC3011"",""ManagedBy"":""FinOpsInsightEngine""}",integration,identity,shared,CC3011,3,FULL,UNPRICED,run-20260906-official-001,2026-09-06T03:00:00Z,6.2.8,SUCCESS,,2026-09-06
2edfff6f-b944-565c-b6da-b0105499d191,NORTHSTAR-CLOUD,f2ed46a9-f200-59b4-801a-0e0fa832b405,SUB-NORTHSTAR-006,/subscriptions/f2ed46a9-f200-59b4-801a-0e0fa832b405/resourceGroups/rg-shared-0116/providers/microsoft.apimanagement/gateways/api-management-gateway-0006-00006,api-management-gateway-0006-00006,microsoft.apimanagement/gateways,rg-shared-0116,eastus2,API Management Gateway,API_MANAGEMENT_GATEWAY,METRIC,METRIC_ANALYSIS,AZURE_MONITOR,NOT_APPLICABLE,ALL_RULES,No-Action,No action needed,Utilization and cost are within expected operating range,NO_ACTION,false,False,WELL_ARCHITECTED_COST_OPTIMIZATION,FINOPS+WAF_COST,Utilization and cost are within expected operating range,LOW,LOW,METRIC,Throughput,21.87,,,,VARIABLE,4255,4320,0.849,PARTIAL,,,NO_SAVINGS,0.0,0.0,0.00,0.00,TARGET_PRICE_DIFFERENCE,,NOT_APPLICABLE,,,0.0,0.0,P1v3,2,8.0,,,,PT30M,,11850.27,987.52,974.53,,USD,3,88877.04,4255,,PARTIAL,5,4,1,Metric1,true,False,21.87,36.98,11.45,0.524,3,3,,0,0,[],[],[],"{""Average"":21.87,""Peak"":36.98,""Coverage"":0.849,""Pattern"":""VARIABLE""}",{},true,false,29625.68,355508.16,0.00,0.00,0.0000,0.5,COST_MANAGEMENT,PRICE_LOOKUP,"{""Owner"":""digital-channels"",""Application"":""commerce-api"",""Environment"":""shared"",""CostCenter"":""CC3036"",""ManagedBy"":""FinOpsInsightEngine""}",digital-channels,commerce-api,shared,CC3036,3,FULL,PRICED,run-20260906-official-001,2026-09-06T03:00:00Z,6.2.8,SUCCESS,,2026-09-06
2edfff6f-b944-565c-b6da-b0105499d191,NORTHSTAR-CLOUD,b53151ed-0f8d-59fe-bd1f-eaaa82a84ee6,SUB-NORTHSTAR-007,/subscriptions/b53151ed-0f8d-59fe-bd1f-eaaa82a84ee6/resourceGroups/rg-shared-0059/providers/microsoft.apimanagement/gateways/api-management-gateway-0007-00007,api-management-gateway-0007-00007,microsoft.apimanagement/gateways,rg-shared-0059,northeurope,API Management Gateway,API_MANAGEMENT_GATEWAY,METRIC,METRIC_ANALYSIS,AZURE_MONITOR,NOT_APPLICABLE,ALL_RULES,Evaluate-Idle,Evaluate idle resource,Review for shutdown or decommission due to low usage,DECOMMISSION,true,True,WELL_ARCHITECTED_COST_OPTIMIZATION,FINOPS+WAF_COST,Review for shutdown or decommission due to low usage,HIGH,LOW,METRIC,Transactions,44.75,,,,STABLE,4186,4320,0.845,PARTIAL,,,CALCULATED,0.0,0.0,3457.28,41487.30,TARGET_PRICE_DIFFERENCE,Mock_1vCPU_4GB,RESOLVED,Downsize,Alternative: downsize resource,1524.98,18299.76,Standard_D2s_v5,2,8.0,1,4.0,"[{""Profile"":""Conservative"",""TargetUtilizationPct"":65,""TargetSku"":""Mock_1vCPU_4GB"",""TargetVCpus"":1,""TargetMemoryGB"":4.0,""ProjectedPeakPct"":67.3,""MonthlySavings"":4978.48,""PerformanceRisk"":""Low"",""Status"":""RESOLVED""},{""Profile"":""Moderate"",""TargetUtilizationPct"":72,""TargetSku"":""Mock_1vCPU_4GB"",""TargetVCpus"":1,""TargetMemoryGB"":4.0,""ProjectedPeakPct"":81.7,""MonthlySavings"":6223.1,""PerformanceRisk"":""Medium"",""Status"":""RESOLVED""},{""Profile"":""Aggressive"",""TargetUtilizationPct"":80,""TargetSku"":""Mock_1vCPU_2GB"",""TargetVCpus"":1,""TargetMemoryGB"":2.0,""ProjectedPeakPct"":87.5,""MonthlySavings"":7744.3,""PerformanceRisk"":""High"",""Status"":""RESOLVED""}]",PT30M,,10920.82,910.07,898.09,,USD,3,81906.15,4186,,PARTIAL,6,3,3,"Metric1,Metric2,Metric3",true,False,44.75,52.41,4.75,0.106,3,3,,1,0,"[{""Rule"":""DECOMMISSION_RULE"",""Result"":""TRIGGERED""}]","[{""Rule"":""DECOMMISSION_RULE"",""Result"":""TRIGGERED""}]",[],"{""Average"":44.75,""Peak"":52.41,""Coverage"":0.845,""Pattern"":""STABLE""}",{},true,false,27302.05,327624.60,6914.55,82974.60,0.2533,0.5,COST_MANAGEMENT,PRICE_LOOKUP,"{""Owner"":""cloud-platform"",""Application"":""analytics-platform"",""Environment"":""shared"",""CostCenter"":""CC3030"",""ManagedBy"":""FinOpsInsightEngine""}",cloud-platform,analytics-platform,shared,CC3030,3,FULL,PRICED,run-20260906-official-001,2026-09-06T03:00:00Z,6.2.8,SUCCESS,,2026-09-06
2edfff6f-b944-565c-b6da-b0105499d191,NORTHSTAR-CLOUD,03658e05-e286-5468-8369-30ee7b6f01e6,SUB-NORTHSTAR-008,/subscriptions/03658e05-e286-5468-8369-30ee7b6f01e6/resourceGroups/rg-dev-0008/providers/microsoft.apimanagement/gateways/api-management-gateway-0008-00008,api-management-gateway-0008-00008,microsoft.apimanagement/gateways,rg-dev-0008,westus2,API Management Gateway,API_MANAGEMENT_GATEWAY,METRIC,METRIC_ANALYSIS,AZURE_MONITOR,NOT_APPLICABLE,ALL_RULES,Optimize-Tier,Optimize service tier,Move to a lower-cost tier aligned with observed demand,TIER_OPTIMIZATION,true,False,WELL_ARCHITECTED_COST_OPTIMIZATION,FINOPS+WAF_COST,Move to a lower-cost tier aligned with observed demand,HIGH,MEDIUM,METRIC,Percentage CPU,34.66,,,,STABLE,3965,4320,0.86,PARTIAL,,,CALCULATED,0.0,0.0,2779.91,33358.87,TARGET_PRICE_DIFFERENCE,Mock_2vCPU_8GB,RESOLVED,,,0.0,0.0,Standard_D4s_v5,4,16.0,2,8.0,"[{""Profile"":""Conservative"",""TargetUtilizationPct"":65,""TargetSku"":""Mock_2vCPU_8GB"",""TargetVCpus"":2,""TargetMemoryGB"":8.0,""ProjectedPeakPct"":70.6,""MonthlySavings"":2779.91,""PerformanceRisk"":""Low"",""Status"":""RESOLVED""},{""Profile"":""Moderate"",""TargetUtilizationPct"":72,""TargetSku"":""Mock_2vCPU_8GB"",""TargetVCpus"":2,""TargetMemoryGB"":8.0,""ProjectedPeakPct"":83.7,""MonthlySavings"":3474.88,""PerformanceRisk"":""Medium"",""Status"":""RESOLVED""},{""Profile"":""Aggressive"",""TargetUtilizationPct"":80,""TargetSku"":""Mock_1vCPU_4GB"",""TargetVCpus"":1,""TargetMemoryGB"":4.0,""ProjectedPeakPct"":85.3,""MonthlySavings"":4324.3,""PerformanceRisk"":""High"",""Status"":""RESOLVED""}]",PT30M,,4959.64,413.30,407.87,,USD,3,37197.30,3965,,PARTIAL,2,1,1,Metric1,true,False,34.66,49.64,2.97,0.086,3,3,,1,0,"[{""Rule"":""TIER_OPTIMIZATION_RULE"",""Result"":""TRIGGERED""}]","[{""Rule"":""TIER_OPTIMIZATION_RULE"",""Result"":""TRIGGERED""}]",[],"{""Average"":34.66,""Peak"":49.64,""Coverage"":0.86,""Pattern"":""STABLE""}",{},true,false,12399.10,148789.20,3860.98,46331.76,0.3114,0.72,COST_MANAGEMENT,PRICE_LOOKUP,"{""Owner"":""analytics"",""Application"":""risk-engine"",""Environment"":""dev"",""CostCenter"":""CC3040"",""ManagedBy"":""FinOpsInsightEngine""}",analytics,risk-engine,dev,CC3040,3,FULL,PRICED,run-20260906-official-001,2026-09-06T03:00:00Z,6.2.8,SUCCESS,,2026-09-06
2edfff6f-b944-565c-b6da-b0105499d191,NORTHSTAR-CLOUD,1fd36c0c-a73c-591e-8489-b7957e2de2c1,SUB-NORTHSTAR-009,/subscriptions/1fd36c0c-a73c-591e-8489-b7957e2de2c1/resourceGroups/rg-qa-0009/providers/microsoft.apimanagement/gateways/api-management-gateway-0009-00009,api-management-gateway-0009-00009,microsoft.apimanagement/gateways,rg-qa-0009,uksouth,API Management Gateway,API_MANAGEMENT_GATEWAY,METRIC,METRIC_ANALYSIS,AZURE_MONITOR,NOT_APPLICABLE,ALL_RULES,Review-Utilization,Review utilization,Resource shows optimization opportunity based on current utilization,OPTIMIZE,true,False,WELL_ARCHITECTED_COST_OPTIMIZATION,FINOPS+WAF_COST,Resource shows optimization opportunity based on current utilization,LOW,MEDIUM,METRIC,Percentage CPU,34.88,,,,VARIABLE,4073,4320,0.876,PARTIAL,,,CALCULATED,0.0,0.0,83.68,1004.14,TARGET_PRICE_DIFFERENCE,Mock_2vCPU_3GB,RESOLVED,,,0.0,0.0,S3,4,7.0,2,3.5,"[{""Profile"":""Conservative"",""TargetUtilizationPct"":65,""TargetSku"":""Mock_2vCPU_3GB"",""TargetVCpus"":2,""TargetMemoryGB"":3.5,""ProjectedPeakPct"":61.0,""MonthlySavings"":128.46,""PerformanceRisk"":""Low"",""Status"":""RESOLVED""},{""Profile"":""Moderate"",""TargetUtilizationPct"":72,""TargetSku"":""Mock_2vCPU_3GB"",""TargetVCpus"":2,""TargetMemoryGB"":3.5,""ProjectedPeakPct"":73.8,""MonthlySavings"":160.58,""PerformanceRisk"":""Medium"",""Status"":""RESOLVED""},{""Profile"":""Aggressive"",""TargetUtilizationPct"":80,""TargetSku"":""Mock_1vCPU_1GB"",""TargetVCpus"":1,""TargetMemoryGB"":1.8,""ProjectedPeakPct"":81.7,""MonthlySavings"":199.83,""PerformanceRisk"":""High"",""Status"":""RESOLVED""}]",PT30M,,594.74,49.56,48.91,,USD,3,4460.58,4073,,PARTIAL,2,1,1,Metric1,true,False,34.88,47.9,12.5,0.358,3,3,,1,0,"[{""Rule"":""OPTIMIZE_RULE"",""Result"":""TRIGGERED""}]","[{""Rule"":""OPTIMIZE_RULE"",""Result"":""TRIGGERED""}]",[],"{""Average"":34.88,""Peak"":47.9,""Coverage"":0.876,""Pattern"":""VARIABLE""}",{},true,false,1486.86,17842.32,116.22,1394.64,0.0782,0.72,COST_MANAGEMENT,PRICE_LOOKUP,"{""Owner"":""core-services"",""Application"":""api-hub"",""Environment"":""qa"",""CostCenter"":""CC3018"",""ManagedBy"":""FinOpsInsightEngine""}",core-services,api-hub,qa,CC3018,3,FULL,PRICED,run-20260906-official-001,2026-09-06T03:00:00Z,6.2.8,SUCCESS,,2026-09-06
2edfff6f-b944-565c-b6da-b0105499d191,NORTHSTAR-CLOUD,cec19d33-7816-56a9-b717-bf63569f6de6,SUB-NORTHSTAR-010,/subscriptions/cec19d33-7816-56a9-b717-bf63569f6de6/resourceGroups/rg-stage-0010/providers/microsoft.apimanagement/gateways/api-management-gateway-0010-00010,api-management-gateway-0010-00010,microsoft.apimanagement/gateways,rg-stage-0010,uksouth,API Management Gateway,API_MANAGEMENT_GATEWAY,METRIC,METRIC_ANALYSIS,AZURE_MONITOR,NOT_APPLICABLE,ALL_RULES,Evaluate-Idle,Evaluate idle resource,Review for shutdown or decommission due to low usage,DECOMMISSION,true,True,WELL_ARCHITECTED_COST_OPTIMIZATION,FINOPS+WAF_COST,Review for shutdown or decommission due to low usage,HIGH,LOW,METRIC,Transactions,47.75,,,,STABLE,3974,4320,0.915,PARTIAL,,,CALCULATED,0.0,0.0,3034.79,36417.48,TARGET_PRICE_DIFFERENCE,,NOT_APPLICABLE,Downsize,Alternative: downsize resource,1791.73,21500.76,P1v3,2,8.0,,,,PT30M,,7291.15,607.60,599.60,,USD,3,54683.64,3974,,PARTIAL,2,1,1,Metric1,true,False,47.75,62.48,2.69,0.056,3,3,,1,0,"[{""Rule"":""DECOMMISSION_RULE"",""Result"":""TRIGGERED""}]","[{""Rule"":""DECOMMISSION_RULE"",""Result"":""TRIGGERED""}]",[],"{""Average"":47.75,""Peak"":62.48,""Coverage"":0.915,""Pattern"":""STABLE""}",{},true,false,18227.88,218734.56,6069.58,72834.96,0.3330,0.5,COST_MANAGEMENT,PRICE_LOOKUP,"{""Owner"":""commerce"",""Application"":""workflow-engine"",""Environment"":""stage"",""CostCenter"":""CC3049"",""ManagedBy"":""FinOpsInsightEngine""}",commerce,workflow-engine,stage,CC3049,3,FULL,PRICED,run-20260906-official-001,2026-09-06T03:00:00Z,6.2.8,SUCCESS,,2026-09-06
