TenantId,TenantName,SubscriptionId,SubscriptionName,ResourceId,ResourceName,ResourceType,ResourceGroup,Location,ServiceType,PricingCategory,AnalysisType,AnalysisMethod,MetricSource,PropertySource,RuleEvaluationMode,RecommendationAction,ActionLabel,ActionSummary,ActionCategory,IsActionable,IsDestructive,RecommendationPractice,CombinedPractice,RecommendationReason,Priority,Confidence,PrimaryRuleType,PrimaryMetric,PrimaryMetricValue,PrimaryProperty,PrimaryPropertyValue,PrimaryPropertyRule,MetricPattern,MetricDataPoints,MetricExpectedDataPoints,MetricCoverageRatio,MetricCoverageStatus,WithheldReason,HeldBackFrom,SavingsStatus,EstimatedMonthlyCostIncrease,EstimatedAnnualCostIncrease,RiskAdjustedMonthlySavings,RiskAdjustedAnnualSavings,SavingsMethod,TargetSku,TargetSkuStatus,SecondaryAction,SecondaryActionLabel,SecondaryMonthlySavings,SecondaryAnnualSavings,CurrentSku,CurrentVCpus,CurrentMemoryGB,TargetVCpus,TargetMemoryGB,TargetOptions,MetricInterval,PowerState,CurrentMonthToDateCost,DailyRunRate,ClosedMonthDailyAverage,CostIncreaseMethod,CostCurrency,CostLookbackMonths,PeriodCost,MetricPointCount,PropertyCondition,MetricCollectionStatus,ConfiguredMetricCount,AvailableMetricCount,MissingMetricCount,MissingMetrics,HasMetricAnalysis,HasPropertyAnalysis,MetricAverage,ObservedPeak,MetricStandardDeviation,MetricCoefficientOfVariation,TenantsExpected,TenantsSucceeded,TenantsFailed,TriggeredRulesCount,PropertyRulesCount,TriggeredRules,TriggeredMetricRules,TriggeredPropertyRules,MetricAnalysis,PropertyAnalysis,MetricAnalysisAvailable,PropertyAnalysisAvailable,MonthlyCost,AnnualCost,EstimatedMonthlySavings,EstimatedAnnualSavings,SavingsMultiplier,ConfidenceWeight,CostSource,SavingsCalculationMethod,Tags,TagOwner,TagApplication,TagEnvironment,TagCostCenter,MonthsAvailable,CostCoverageStatus,SavingsReliability,RunId,RunStartedAt,EngineVersion,ProcessingStatus,Error,rundate
2edfff6f-b944-565c-b6da-b0105499d191,NORTHSTAR-CLOUD,b8acb44b-4a49-5405-a38f-464fa1120382,SUB-NORTHSTAR-001,/subscriptions/b8acb44b-4a49-5405-a38f-464fa1120382/resourceGroups/rg-prod-0001/providers/microsoft.apimanagement/gateways/api-management-gateway-0001-00001,api-management-gateway-0001-00001,microsoft.apimanagement/gateways,rg-prod-0001,brazilsouth,API Management Gateway,API_MANAGEMENT_GATEWAY,METRIC,METRIC_ANALYSIS,AZURE_MONITOR,NOT_APPLICABLE,ALL_RULES,No-Action,No action needed,Utilization and cost are within expected operating range,NO_ACTION,false,False,WELL_ARCHITECTED_COST_OPTIMIZATION,FINOPS+WAF_COST,Move to a lower-cost tier aligned with observed demand,LOW,HIGH,METRIC,MemoryUtilization,56.83,,,,STABLE,3689,4320,0.825,PARTIAL,,,UNPRICED,0.0,0.0,0.00,0.00,HEURISTIC_PERCENTAGE,,NOT_APPLICABLE,,,0.0,0.0,GP_Gen5_8,8,40.0,,,,PT30M,,2323.15,193.60,191.05,,USD,3,17423.64,3689,,PARTIAL,2,1,1,Metric1,true,False,56.83,66.01,6.91,0.122,3,3,,1,0,"[{""Rule"":""TIER_OPTIMIZATION_RULE"",""Result"":""TRIGGERED""}]","[{""Rule"":""TIER_OPTIMIZATION_RULE"",""Result"":""TRIGGERED""}]",[],"{""Average"":56.83,""Peak"":66.01,""Coverage"":0.825,""Pattern"":""STABLE""}",{},true,false,5807.88,69694.56,0.00,0.00,0.0000,0.9,COST_MANAGEMENT,UNPRICED,"{""Owner"":""data-ai"",""Application"":""ledger"",""Environment"":""prod"",""CostCenter"":""CC3050"",""ManagedBy"":""FinOpsInsightEngine""}",data-ai,ledger,prod,CC3050,3,FULL,UNPRICED,run-20260912-official-001,2026-09-12T03:00:00Z,6.4.0,SUCCESS,,2026-09-12
2edfff6f-b944-565c-b6da-b0105499d191,NORTHSTAR-CLOUD,1c079981-a868-54f6-96c7-1cd448f63b4d,SUB-NORTHSTAR-002,/subscriptions/1c079981-a868-54f6-96c7-1cd448f63b4d/resourceGroups/rg-nonprod-0002/providers/microsoft.apimanagement/gateways/api-management-gateway-0002-00002,api-management-gateway-0002-00002,microsoft.apimanagement/gateways,rg-nonprod-0002,centralus,API Management Gateway,API_MANAGEMENT_GATEWAY,METRIC,METRIC_ANALYSIS,AZURE_MONITOR,NOT_APPLICABLE,ALL_RULES,Review-Utilization,Review utilization,Resource shows optimization opportunity based on current utilization,OPTIMIZE,true,False,WELL_ARCHITECTED_COST_OPTIMIZATION,FINOPS+WAF_COST,Resource shows optimization opportunity based on current utilization,MEDIUM,HIGH,METRIC,MemoryUtilization,17.54,,,,VARIABLE,4030,4320,0.885,PARTIAL,,,CALCULATED,0.0,0.0,1563.71,18764.46,TARGET_PRICE_DIFFERENCE,,NOT_APPLICABLE,,,0.0,0.0,GP_Gen5_8,8,40.0,,,,PT30M,,3256.55,271.38,267.81,,USD,3,24424.11,4030,,PARTIAL,3,1,2,"Metric1,Metric2",true,False,17.54,31.48,8.23,0.469,3,3,,1,0,"[{""Rule"":""OPTIMIZE_RULE"",""Result"":""TRIGGERED""}]","[{""Rule"":""OPTIMIZE_RULE"",""Result"":""TRIGGERED""}]",[],"{""Average"":17.54,""Peak"":31.48,""Coverage"":0.885,""Pattern"":""VARIABLE""}",{},true,false,8141.37,97696.44,1737.45,20849.40,0.2134,0.9,COST_MANAGEMENT,PRICE_LOOKUP,"{""Owner"":""customer-experience"",""Application"":""reporting"",""Environment"":""nonprod"",""CostCenter"":""CC3019"",""ManagedBy"":""FinOpsInsightEngine""}",customer-experience,reporting,nonprod,CC3019,3,FULL,PRICED,run-20260912-official-001,2026-09-12T03:00:00Z,6.4.0,SUCCESS,,2026-09-12
2edfff6f-b944-565c-b6da-b0105499d191,NORTHSTAR-CLOUD,f0ac1eec-b3d4-5ea4-b501-d3a1dce6c052,SUB-NORTHSTAR-003,/subscriptions/f0ac1eec-b3d4-5ea4-b501-d3a1dce6c052/resourceGroups/rg-dev-0003/providers/microsoft.apimanagement/gateways/api-management-gateway-0003-00003,api-management-gateway-0003-00003,microsoft.apimanagement/gateways,rg-dev-0003,westus3,API Management Gateway,API_MANAGEMENT_GATEWAY,METRIC,METRIC_ANALYSIS,AZURE_MONITOR,NOT_APPLICABLE,ALL_RULES,Evaluate-Idle,Evaluate idle resource,Review for shutdown or decommission due to low usage,DECOMMISSION,true,True,WELL_ARCHITECTED_COST_OPTIMIZATION,FINOPS+WAF_COST,Review for shutdown or decommission due to low usage,MEDIUM,HIGH,METRIC,Percentage CPU,57.45,,,,VARIABLE,4026,4320,0.947,PARTIAL,,,CALCULATED,0.0,0.0,1404.70,16856.42,TARGET_PRICE_DIFFERENCE,Mock_4vCPU_20GB,RESOLVED,Downsize,Alternative: downsize resource,929.33,11151.96,GP_Gen5_8,8,40.0,4,20.0,"[{""Profile"":""Conservative"",""TargetUtilizationPct"":65,""TargetSku"":""Mock_4vCPU_20GB"",""TargetVCpus"":4,""TargetMemoryGB"":20.0,""ProjectedPeakPct"":70.9,""MonthlySavings"":1123.76,""PerformanceRisk"":""Low"",""Status"":""RESOLVED""},{""Profile"":""Moderate"",""TargetUtilizationPct"":72,""TargetSku"":""Mock_4vCPU_20GB"",""TargetVCpus"":4,""TargetMemoryGB"":20.0,""ProjectedPeakPct"":66.9,""MonthlySavings"":1404.7,""PerformanceRisk"":""Medium"",""Status"":""RESOLVED""},{""Profile"":""Aggressive"",""TargetUtilizationPct"":80,""TargetSku"":""Mock_2vCPU_10GB"",""TargetVCpus"":2,""TargetMemoryGB"":10.0,""ProjectedPeakPct"":86.7,""MonthlySavings"":1748.07,""PerformanceRisk"":""High"",""Status"":""RESOLVED""}]",PT30M,,3472.88,289.41,285.60,,USD,3,26046.60,4026,,PARTIAL,4,1,3,"Metric1,Metric2,Metric3",true,False,57.45,73.79,9.39,0.163,3,3,,1,0,"[{""Rule"":""DECOMMISSION_RULE"",""Result"":""TRIGGERED""}]","[{""Rule"":""DECOMMISSION_RULE"",""Result"":""TRIGGERED""}]",[],"{""Average"":57.45,""Peak"":73.79,""Coverage"":0.947,""Pattern"":""VARIABLE""}",{},true,false,8682.20,104186.40,1560.78,18729.36,0.1798,0.9,COST_MANAGEMENT,PRICE_LOOKUP,"{""Owner"":""cloud-platform"",""Application"":""ledger"",""Environment"":""dev"",""CostCenter"":""CC3035"",""ManagedBy"":""FinOpsInsightEngine""}",cloud-platform,ledger,dev,CC3035,3,FULL,PRICED,run-20260912-official-001,2026-09-12T03:00:00Z,6.4.0,SUCCESS,,2026-09-12
2edfff6f-b944-565c-b6da-b0105499d191,NORTHSTAR-CLOUD,2b3f0224-cd1f-5305-a0ec-2e0b836c2435,SUB-NORTHSTAR-004,/subscriptions/2b3f0224-cd1f-5305-a0ec-2e0b836c2435/resourceGroups/rg-qa-0004/providers/microsoft.apimanagement/gateways/api-management-gateway-0004-00004,api-management-gateway-0004-00004,microsoft.apimanagement/gateways,rg-qa-0004,centralus,API Management Gateway,API_MANAGEMENT_GATEWAY,METRIC,METRIC_ANALYSIS,AZURE_MONITOR,NOT_APPLICABLE,ALL_RULES,No-Action,No action needed,Utilization and cost are within expected operating range,NO_ACTION,false,False,WELL_ARCHITECTED_COST_OPTIMIZATION,FINOPS+WAF_COST,Utilization and cost are within expected operating range,LOW,LOW,METRIC,Transactions,20.61,,,,STABLE,3633,4320,0.905,PARTIAL,,,NO_SAVINGS,0.0,0.0,0.00,0.00,TARGET_PRICE_DIFFERENCE,,NOT_APPLICABLE,,,0.0,0.0,Standard_D2s_v5,2,8.0,,,,PT30M,,5761.78,480.15,473.83,,USD,3,43213.38,3633,,PARTIAL,3,1,2,"Metric1,Metric2",true,False,20.61,49.2,5.58,0.271,3,3,,0,0,[],[],[],"{""Average"":20.61,""Peak"":49.2,""Coverage"":0.905,""Pattern"":""STABLE""}",{},true,false,14404.46,172853.52,0.00,0.00,0.0000,0.5,COST_MANAGEMENT,PRICE_LOOKUP,"{""Owner"":""customer-experience"",""Application"":""analytics-platform"",""Environment"":""qa"",""CostCenter"":""CC3032"",""ManagedBy"":""FinOpsInsightEngine""}",customer-experience,analytics-platform,qa,CC3032,3,FULL,PRICED,run-20260912-official-001,2026-09-12T03:00:00Z,6.4.0,SUCCESS,,2026-09-12
2edfff6f-b944-565c-b6da-b0105499d191,NORTHSTAR-CLOUD,3b10ab8a-e157-5d07-984f-7e512fc3a495,SUB-NORTHSTAR-005,/subscriptions/3b10ab8a-e157-5d07-984f-7e512fc3a495/resourceGroups/rg-shared-0173/providers/microsoft.apimanagement/gateways/api-management-gateway-0005-00005,api-management-gateway-0005-00005,microsoft.apimanagement/gateways,rg-shared-0173,brazilsouth,API Management Gateway,API_MANAGEMENT_GATEWAY,METRIC,METRIC_ANALYSIS,AZURE_MONITOR,NOT_APPLICABLE,ALL_RULES,Review-Utilization,Review utilization,Resource shows optimization opportunity based on current utilization,OPTIMIZE,true,False,WELL_ARCHITECTED_COST_OPTIMIZATION,FINOPS+WAF_COST,Resource shows optimization opportunity based on current utilization,MEDIUM,HIGH,METRIC,Percentage CPU,25.92,,,,STABLE,3991,4320,0.904,PARTIAL,,,CALCULATED,0.0,0.0,1477.17,17726.04,TARGET_PRICE_DIFFERENCE,Mock_2vCPU_10GB,RESOLVED,,,0.0,0.0,GP_Gen5_4,4,20.0,2,10.0,"[{""Profile"":""Conservative"",""TargetUtilizationPct"":65,""TargetSku"":""Mock_2vCPU_10GB"",""TargetVCpus"":2,""TargetMemoryGB"":10.0,""ProjectedPeakPct"":60.1,""MonthlySavings"":1181.74,""PerformanceRisk"":""Low"",""Status"":""RESOLVED""},{""Profile"":""Moderate"",""TargetUtilizationPct"":72,""TargetSku"":""Mock_2vCPU_10GB"",""TargetVCpus"":2,""TargetMemoryGB"":10.0,""ProjectedPeakPct"":70.8,""MonthlySavings"":1477.17,""PerformanceRisk"":""Medium"",""Status"":""RESOLVED""},{""Profile"":""Aggressive"",""TargetUtilizationPct"":80,""TargetSku"":""Mock_1vCPU_5GB"",""TargetVCpus"":1,""TargetMemoryGB"":5.0,""ProjectedPeakPct"":78.1,""MonthlySavings"":1838.26,""PerformanceRisk"":""High"",""Status"":""RESOLVED""}]",PT30M,,1726.25,143.85,141.96,,USD,3,12946.89,3991,,PARTIAL,6,1,5,"Metric1,Metric2,Metric3,Metric4,Metric5",true,False,25.92,54.04,5.31,0.205,3,3,,1,0,"[{""Rule"":""OPTIMIZE_RULE"",""Result"":""TRIGGERED""}]","[{""Rule"":""OPTIMIZE_RULE"",""Result"":""TRIGGERED""}]",[],"{""Average"":25.92,""Peak"":54.04,""Coverage"":0.904,""Pattern"":""STABLE""}",{},true,false,4315.63,51787.56,1641.30,19695.60,0.3803,0.9,COST_MANAGEMENT,PRICE_LOOKUP,"{""Owner"":""digital-channels"",""Application"":""workflow-engine"",""Environment"":""shared"",""CostCenter"":""CC3037"",""ManagedBy"":""FinOpsInsightEngine""}",digital-channels,workflow-engine,shared,CC3037,3,FULL,PRICED,run-20260912-official-001,2026-09-12T03:00:00Z,6.4.0,SUCCESS,,2026-09-12
2edfff6f-b944-565c-b6da-b0105499d191,NORTHSTAR-CLOUD,f2ed46a9-f200-59b4-801a-0e0fa832b405,SUB-NORTHSTAR-006,/subscriptions/f2ed46a9-f200-59b4-801a-0e0fa832b405/resourceGroups/rg-shared-0116/providers/microsoft.apimanagement/gateways/api-management-gateway-0006-00006,api-management-gateway-0006-00006,microsoft.apimanagement/gateways,rg-shared-0116,eastus2,API Management Gateway,API_MANAGEMENT_GATEWAY,METRIC,METRIC_ANALYSIS,AZURE_MONITOR,NOT_APPLICABLE,ALL_RULES,No-Action,No action needed,Utilization and cost are within expected operating range,NO_ACTION,false,False,WELL_ARCHITECTED_COST_OPTIMIZATION,FINOPS+WAF_COST,Utilization and cost are within expected operating range,LOW,MEDIUM,METRIC,Throughput,48.8,,,,VARIABLE,4255,4320,0.862,PARTIAL,,,NO_SAVINGS,0.0,0.0,0.00,0.00,TARGET_PRICE_DIFFERENCE,,NOT_APPLICABLE,,,0.0,0.0,P1v3,2,8.0,,,,PT30M,,9404.43,783.70,773.39,,USD,3,70533.24,4255,,PARTIAL,6,5,1,Metric1,true,False,48.8,70.41,11.39,0.233,3,3,,0,0,[],[],[],"{""Average"":48.8,""Peak"":70.41,""Coverage"":0.862,""Pattern"":""VARIABLE""}",{},true,false,23511.08,282132.96,0.00,0.00,0.0000,0.72,COST_MANAGEMENT,PRICE_LOOKUP,"{""Owner"":""operations"",""Application"":""analytics-platform"",""Environment"":""shared"",""CostCenter"":""CC3031"",""ManagedBy"":""FinOpsInsightEngine""}",operations,analytics-platform,shared,CC3031,3,FULL,PRICED,run-20260912-official-001,2026-09-12T03:00:00Z,6.4.0,SUCCESS,,2026-09-12
2edfff6f-b944-565c-b6da-b0105499d191,NORTHSTAR-CLOUD,b53151ed-0f8d-59fe-bd1f-eaaa82a84ee6,SUB-NORTHSTAR-007,/subscriptions/b53151ed-0f8d-59fe-bd1f-eaaa82a84ee6/resourceGroups/rg-shared-0059/providers/microsoft.apimanagement/gateways/api-management-gateway-0007-00007,api-management-gateway-0007-00007,microsoft.apimanagement/gateways,rg-shared-0059,northeurope,API Management Gateway,API_MANAGEMENT_GATEWAY,METRIC,METRIC_ANALYSIS,AZURE_MONITOR,NOT_APPLICABLE,ALL_RULES,Evaluate-Idle,Evaluate idle resource,Review for shutdown or decommission due to low usage,DECOMMISSION,true,True,WELL_ARCHITECTED_COST_OPTIMIZATION,FINOPS+WAF_COST,Review for shutdown or decommission due to low usage,HIGH,HIGH,METRIC,Transactions,28.0,,,,STABLE,4186,4320,0.891,PARTIAL,,,CALCULATED,0.0,0.0,3254.17,39049.99,HEURISTIC_PERCENTAGE,Mock_1vCPU_4GB,RESOLVED,Downsize,Alternative: downsize resource,1524.98,18299.76,Standard_D2s_v5,2,8.0,1,4.0,"[{""Profile"":""Conservative"",""TargetUtilizationPct"":65,""TargetSku"":""Mock_1vCPU_4GB"",""TargetVCpus"":1,""TargetMemoryGB"":4.0,""ProjectedPeakPct"":62.3,""MonthlySavings"":2603.33,""PerformanceRisk"":""Low"",""Status"":""RESOLVED""},{""Profile"":""Moderate"",""TargetUtilizationPct"":72,""TargetSku"":""Mock_1vCPU_4GB"",""TargetVCpus"":1,""TargetMemoryGB"":4.0,""ProjectedPeakPct"":72.7,""MonthlySavings"":3254.17,""PerformanceRisk"":""Medium"",""Status"":""RESOLVED""},{""Profile"":""Aggressive"",""TargetUtilizationPct"":80,""TargetSku"":""Mock_1vCPU_2GB"",""TargetVCpus"":1,""TargetMemoryGB"":2.0,""ProjectedPeakPct"":82.6,""MonthlySavings"":4049.63,""PerformanceRisk"":""High"",""Status"":""RESOLVED""}]",PT30M,,9150.12,762.51,752.48,,USD,3,68625.87,4186,,PARTIAL,4,1,3,"Metric1,Metric2,Metric3",true,False,28.0,41.16,5.37,0.192,3,3,,1,0,"[{""Rule"":""DECOMMISSION_RULE"",""Result"":""TRIGGERED""}]","[{""Rule"":""DECOMMISSION_RULE"",""Result"":""TRIGGERED""}]",[],"{""Average"":28.0,""Peak"":41.16,""Coverage"":0.891,""Pattern"":""STABLE""}",{},true,false,22875.29,274503.48,3615.74,43388.88,0.1581,0.9,COST_MANAGEMENT,HEURISTIC,"{""Owner"":""payments"",""Application"":""analytics-platform"",""Environment"":""shared"",""CostCenter"":""CC3037"",""ManagedBy"":""FinOpsInsightEngine""}",payments,analytics-platform,shared,CC3037,3,FULL,HEURISTIC,run-20260912-official-001,2026-09-12T03:00:00Z,6.4.0,SUCCESS,,2026-09-12
2edfff6f-b944-565c-b6da-b0105499d191,NORTHSTAR-CLOUD,03658e05-e286-5468-8369-30ee7b6f01e6,SUB-NORTHSTAR-008,/subscriptions/03658e05-e286-5468-8369-30ee7b6f01e6/resourceGroups/rg-dev-0008/providers/microsoft.apimanagement/gateways/api-management-gateway-0008-00008,api-management-gateway-0008-00008,microsoft.apimanagement/gateways,rg-dev-0008,westus2,API Management Gateway,API_MANAGEMENT_GATEWAY,METRIC,METRIC_ANALYSIS,AZURE_MONITOR,NOT_APPLICABLE,ALL_RULES,Optimize-Tier,Optimize service tier,Move to a lower-cost tier aligned with observed demand,TIER_OPTIMIZATION,true,False,WELL_ARCHITECTED_COST_OPTIMIZATION,FINOPS+WAF_COST,Move to a lower-cost tier aligned with observed demand,HIGH,MEDIUM,METRIC,Percentage CPU,52.88,,,,STABLE,3965,4320,0.887,PARTIAL,,,CALCULATED,0.0,0.0,3956.55,47478.61,TARGET_PRICE_DIFFERENCE,,NOT_APPLICABLE,,,0.0,0.0,Standard_D4s_v5,4,16.0,,,,PT30M,,6309.97,525.83,518.91,,USD,3,47324.76,3965,,PARTIAL,6,2,4,"Metric1,Metric2,Metric3,Metric4",true,False,52.88,77.52,3.42,0.065,3,3,,1,0,"[{""Rule"":""TIER_OPTIMIZATION_RULE"",""Result"":""TRIGGERED""}]","[{""Rule"":""TIER_OPTIMIZATION_RULE"",""Result"":""TRIGGERED""}]",[],"{""Average"":52.88,""Peak"":77.52,""Coverage"":0.887,""Pattern"":""STABLE""}",{},true,false,15774.92,189299.04,5495.21,65942.52,0.3484,0.72,COST_MANAGEMENT,PRICE_LOOKUP,"{""Owner"":""integration"",""Application"":""billing-platform"",""Environment"":""dev"",""CostCenter"":""CC3027"",""ManagedBy"":""FinOpsInsightEngine""}",integration,billing-platform,dev,CC3027,3,FULL,PRICED,run-20260912-official-001,2026-09-12T03:00:00Z,6.4.0,SUCCESS,,2026-09-12
2edfff6f-b944-565c-b6da-b0105499d191,NORTHSTAR-CLOUD,1fd36c0c-a73c-591e-8489-b7957e2de2c1,SUB-NORTHSTAR-009,/subscriptions/1fd36c0c-a73c-591e-8489-b7957e2de2c1/resourceGroups/rg-qa-0009/providers/microsoft.apimanagement/gateways/api-management-gateway-0009-00009,api-management-gateway-0009-00009,microsoft.apimanagement/gateways,rg-qa-0009,uksouth,API Management Gateway,API_MANAGEMENT_GATEWAY,METRIC,METRIC_ANALYSIS,AZURE_MONITOR,NOT_APPLICABLE,ALL_RULES,Review-Utilization,Review utilization,Resource shows optimization opportunity based on current utilization,OPTIMIZE,true,False,WELL_ARCHITECTED_COST_OPTIMIZATION,FINOPS+WAF_COST,Resource shows optimization opportunity based on current utilization,LOW,LOW,METRIC,Percentage CPU,48.42,,,,STABLE,4073,4320,0.849,PARTIAL,,,CALCULATED,0.0,0.0,64.39,772.74,TARGET_PRICE_DIFFERENCE,Mock_2vCPU_3GB,RESOLVED,,,0.0,0.0,S3,4,7.0,2,3.5,"[{""Profile"":""Conservative"",""TargetUtilizationPct"":65,""TargetSku"":""Mock_2vCPU_3GB"",""TargetVCpus"":2,""TargetMemoryGB"":3.5,""ProjectedPeakPct"":73.5,""MonthlySavings"":92.73,""PerformanceRisk"":""Low"",""Status"":""RESOLVED""},{""Profile"":""Moderate"",""TargetUtilizationPct"":72,""TargetSku"":""Mock_2vCPU_3GB"",""TargetVCpus"":2,""TargetMemoryGB"":3.5,""ProjectedPeakPct"":83.3,""MonthlySavings"":115.91,""PerformanceRisk"":""Medium"",""Status"":""RESOLVED""},{""Profile"":""Aggressive"",""TargetUtilizationPct"":80,""TargetSku"":""Mock_1vCPU_1GB"",""TargetVCpus"":1,""TargetMemoryGB"":1.8,""ProjectedPeakPct"":74.2,""MonthlySavings"":144.24,""PerformanceRisk"":""High"",""Status"":""RESOLVED""}]",PT30M,,240.84,20.07,19.81,,USD,3,1806.30,4073,,PARTIAL,3,2,1,Metric1,true,False,48.42,55.72,2.17,0.045,3,3,,1,0,"[{""Rule"":""OPTIMIZE_RULE"",""Result"":""TRIGGERED""}]","[{""Rule"":""OPTIMIZE_RULE"",""Result"":""TRIGGERED""}]",[],"{""Average"":48.42,""Peak"":55.72,""Coverage"":0.849,""Pattern"":""STABLE""}",{},true,false,602.10,7225.20,128.79,1545.48,0.2139,0.5,COST_MANAGEMENT,PRICE_LOOKUP,"{""Owner"":""analytics"",""Application"":""analytics-platform"",""Environment"":""qa"",""CostCenter"":""CC3002"",""ManagedBy"":""FinOpsInsightEngine""}",analytics,analytics-platform,qa,CC3002,3,FULL,PRICED,run-20260912-official-001,2026-09-12T03:00:00Z,6.4.0,SUCCESS,,2026-09-12
2edfff6f-b944-565c-b6da-b0105499d191,NORTHSTAR-CLOUD,cec19d33-7816-56a9-b717-bf63569f6de6,SUB-NORTHSTAR-010,/subscriptions/cec19d33-7816-56a9-b717-bf63569f6de6/resourceGroups/rg-stage-0010/providers/microsoft.apimanagement/gateways/api-management-gateway-0010-00010,api-management-gateway-0010-00010,microsoft.apimanagement/gateways,rg-stage-0010,uksouth,API Management Gateway,API_MANAGEMENT_GATEWAY,METRIC,METRIC_ANALYSIS,AZURE_MONITOR,NOT_APPLICABLE,ALL_RULES,Evaluate-Idle,Evaluate idle resource,Review for shutdown or decommission due to low usage,DECOMMISSION,true,True,WELL_ARCHITECTED_COST_OPTIMIZATION,FINOPS+WAF_COST,Review for shutdown or decommission due to low usage,HIGH,HIGH,METRIC,Transactions,29.81,,,,VARIABLE,3974,4320,0.983,COMPLETE,,,CALCULATED,0.0,0.0,5616.26,67395.13,TARGET_PRICE_DIFFERENCE,Mock_1vCPU_4GB,RESOLVED,Downsize,Alternative: downsize resource,1791.73,21500.76,P1v3,2,8.0,1,4.0,"[{""Profile"":""Conservative"",""TargetUtilizationPct"":65,""TargetSku"":""Mock_1vCPU_4GB"",""TargetVCpus"":1,""TargetMemoryGB"":4.0,""ProjectedPeakPct"":73.4,""MonthlySavings"":4493.01,""PerformanceRisk"":""Low"",""Status"":""RESOLVED""},{""Profile"":""Moderate"",""TargetUtilizationPct"":72,""TargetSku"":""Mock_1vCPU_4GB"",""TargetVCpus"":1,""TargetMemoryGB"":4.0,""ProjectedPeakPct"":68.5,""MonthlySavings"":5616.26,""PerformanceRisk"":""Medium"",""Status"":""RESOLVED""},{""Profile"":""Aggressive"",""TargetUtilizationPct"":80,""TargetSku"":""Mock_1vCPU_2GB"",""TargetVCpus"":1,""TargetMemoryGB"":2.0,""ProjectedPeakPct"":89.2,""MonthlySavings"":6989.12,""PerformanceRisk"":""High"",""Status"":""RESOLVED""}]",PT30M,,9380.57,781.71,771.43,,USD,3,70354.29,3974,,COMPLETE,5,5,0,,true,False,29.81,55.32,11.15,0.374,3,3,,1,0,"[{""Rule"":""DECOMMISSION_RULE"",""Result"":""TRIGGERED""}]","[{""Rule"":""DECOMMISSION_RULE"",""Result"":""TRIGGERED""}]",[],"{""Average"":29.81,""Peak"":55.32,""Coverage"":0.983,""Pattern"":""VARIABLE""}",{},true,false,23451.43,281417.16,6240.29,74883.48,0.2661,0.9,COST_MANAGEMENT,PRICE_LOOKUP,"{""Owner"":""customer-experience"",""Application"":""reporting"",""Environment"":""stage"",""CostCenter"":""CC3017"",""ManagedBy"":""FinOpsInsightEngine""}",customer-experience,reporting,stage,CC3017,3,FULL,PRICED,run-20260912-official-001,2026-09-12T03:00:00Z,6.4.0,SUCCESS,,2026-09-12
