rundate,RunId,TenantName,SubscriptionName,ResourceId,ResourceName,ResourceType,ResourceGroup,Location,RecommendationAction,ActionLabel,ActionSummary,SecondaryAction,SecondaryActionLabel,Priority,Confidence,SavingsReliability,CostCoverageStatus,MetricCollectionStatus,MissingMetrics,TagOwner,TagApplication,TagEnvironment,TagCostCenter,MonthlyCost,CurrentSku,CurrentVCpus,CurrentMemoryGB,PowerState,Profile,IsPrimaryProfile,TargetUtilizationPct,TargetSku,TargetVCpus,TargetMemoryGB,ProjectedPeakPct,MonthlySavings,OfficialConservativeSavings,PerformanceRisk,Status
2026-09-10,run-20260910-official-001,FIS-CORP,SUB-CORP-01,/subscriptions/00000001-0001-4001-8001-000000000001/resourceGroups/rg-prod-001/providers/microsoft.compute/virtualmachinescalesets/virtual-machine-scale--001,virtual-machine-scale--001,microsoft.compute/virtualmachinescalesets,rg-prod-001,centralus,Review-Utilization,Review utilization,Resource shows optimization opportunity based on current utilization,,,LOW,HIGH,UNPRICED,FULL,COMPLETE,,payments,risk,prod,CC1004,1397.99,P1v3,2,8.0,running,Conservative,True,65,Mock_1vCPU_4GB,1,4.0,60.0,146.79,146.79,Low,RESOLVED
2026-09-10,run-20260910-official-001,FIS-CORP,SUB-CORP-01,/subscriptions/00000001-0001-4001-8001-000000000001/resourceGroups/rg-prod-001/providers/microsoft.compute/virtualmachinescalesets/virtual-machine-scale--001,virtual-machine-scale--001,microsoft.compute/virtualmachinescalesets,rg-prod-001,centralus,Review-Utilization,Review utilization,Resource shows optimization opportunity based on current utilization,,,LOW,HIGH,UNPRICED,FULL,COMPLETE,,payments,risk,prod,CC1004,1397.99,P1v3,2,8.0,running,Moderate,False,72,Mock_1vCPU_4GB,1,4.0,80.2,180.34,0.0,Medium,RESOLVED
2026-09-10,run-20260910-official-001,FIS-CORP,SUB-CORP-01,/subscriptions/00000001-0001-4001-8001-000000000001/resourceGroups/rg-prod-001/providers/microsoft.compute/virtualmachinescalesets/virtual-machine-scale--001,virtual-machine-scale--001,microsoft.compute/virtualmachinescalesets,rg-prod-001,centralus,Review-Utilization,Review utilization,Resource shows optimization opportunity based on current utilization,,,LOW,HIGH,UNPRICED,FULL,COMPLETE,,payments,risk,prod,CC1004,1397.99,P1v3,2,8.0,running,Aggressive,False,80,Mock_1vCPU_2GB,1,2.0,87.3,226.47,0.0,High,RESOLVED
2026-09-10,run-20260910-official-001,FIS-CORP,SUB-CORP-02,/subscriptions/00000002-0002-4002-8002-000000000002/resourceGroups/rg-nonprod-002/providers/microsoft.compute/virtualmachinescalesets/virtual-machine-scale--002,virtual-machine-scale--002,microsoft.compute/virtualmachinescalesets,rg-nonprod-002,westus2,Review-Utilization,Review utilization,Resource shows optimization opportunity based on current utilization,,,HIGH,HIGH,HEURISTIC,FULL,PARTIAL,Metric1,core-banking,payments,nonprod,CC1007,11652.86,GP_Gen5_8,8,40.0,running,Conservative,True,65,Mock_4vCPU_20GB,4,20.0,69.3,3740.24,3740.24,Low,RESOLVED
2026-09-10,run-20260910-official-001,FIS-CORP,SUB-CORP-02,/subscriptions/00000002-0002-4002-8002-000000000002/resourceGroups/rg-nonprod-002/providers/microsoft.compute/virtualmachinescalesets/virtual-machine-scale--002,virtual-machine-scale--002,microsoft.compute/virtualmachinescalesets,rg-nonprod-002,westus2,Review-Utilization,Review utilization,Resource shows optimization opportunity based on current utilization,,,HIGH,HIGH,HEURISTIC,FULL,PARTIAL,Metric1,core-banking,payments,nonprod,CC1007,11652.86,GP_Gen5_8,8,40.0,running,Moderate,False,72,Mock_4vCPU_20GB,4,20.0,81.3,4595.15,0.0,Medium,RESOLVED
2026-09-10,run-20260910-official-001,FIS-CORP,SUB-CORP-02,/subscriptions/00000002-0002-4002-8002-000000000002/resourceGroups/rg-nonprod-002/providers/microsoft.compute/virtualmachinescalesets/virtual-machine-scale--002,virtual-machine-scale--002,microsoft.compute/virtualmachinescalesets,rg-nonprod-002,westus2,Review-Utilization,Review utilization,Resource shows optimization opportunity based on current utilization,,,HIGH,HIGH,HEURISTIC,FULL,PARTIAL,Metric1,core-banking,payments,nonprod,CC1007,11652.86,GP_Gen5_8,8,40.0,running,Aggressive,False,80,Mock_2vCPU_10GB,2,10.0,83.2,5770.66,0.0,High,RESOLVED
2026-09-10,run-20260910-official-001,FIS-CORP,SUB-CORP-03,/subscriptions/00000003-0003-4003-8003-000000000003/resourceGroups/rg-dev-003/providers/microsoft.compute/virtualmachinescalesets/virtual-machine-scale--003,virtual-machine-scale--003,microsoft.compute/virtualmachinescalesets,rg-dev-003,centralus,Optimize-Tier,Optimize service tier,Move to a lower-cost tier aligned with observed demand,,,HIGH,MEDIUM,HEURISTIC,FULL,COMPLETE,,digital-channels,api-hub,dev,CC1011,16103.19,GP_Gen5_8,8,40.0,stopped,Conservative,True,65,Mock_4vCPU_20GB,4,20.0,64.5,4033.99,4033.99,Low,RESOLVED
2026-09-10,run-20260910-official-001,FIS-CORP,SUB-CORP-03,/subscriptions/00000003-0003-4003-8003-000000000003/resourceGroups/rg-dev-003/providers/microsoft.compute/virtualmachinescalesets/virtual-machine-scale--003,virtual-machine-scale--003,microsoft.compute/virtualmachinescalesets,rg-dev-003,centralus,Optimize-Tier,Optimize service tier,Move to a lower-cost tier aligned with observed demand,,,HIGH,MEDIUM,HEURISTIC,FULL,COMPLETE,,digital-channels,api-hub,dev,CC1011,16103.19,GP_Gen5_8,8,40.0,stopped,Moderate,False,72,Mock_4vCPU_20GB,4,20.0,79.3,4956.04,0.0,Medium,RESOLVED
2026-09-10,run-20260910-official-001,FIS-CORP,SUB-CORP-03,/subscriptions/00000003-0003-4003-8003-000000000003/resourceGroups/rg-dev-003/providers/microsoft.compute/virtualmachinescalesets/virtual-machine-scale--003,virtual-machine-scale--003,microsoft.compute/virtualmachinescalesets,rg-dev-003,centralus,Optimize-Tier,Optimize service tier,Move to a lower-cost tier aligned with observed demand,,,HIGH,MEDIUM,HEURISTIC,FULL,COMPLETE,,digital-channels,api-hub,dev,CC1011,16103.19,GP_Gen5_8,8,40.0,stopped,Aggressive,False,80,Mock_2vCPU_10GB,2,10.0,90.2,6223.87,0.0,High,RESOLVED
2026-09-10,run-20260910-official-001,FIS-CORP,SUB-CORP-04,/subscriptions/00000004-0004-4004-8004-000000000004/resourceGroups/rg-qa-004/providers/microsoft.compute/virtualmachinescalesets/virtual-machine-scale--004,virtual-machine-scale--004,microsoft.compute/virtualmachinescalesets,rg-qa-004,westeurope,Review-Utilization,Review utilization,Resource shows optimization opportunity based on current utilization,,,HIGH,MEDIUM,HEURISTIC,FULL,PARTIAL,"Metric1,Metric2,Metric3",digital-channels,customer360,qa,CC1008,15722.5,GP_Gen5_4,4,20.0,running,Conservative,True,65,Mock_2vCPU_10GB,2,10.0,70.9,3173.49,3173.49,Low,RESOLVED
2026-09-10,run-20260910-official-001,FIS-CORP,SUB-CORP-04,/subscriptions/00000004-0004-4004-8004-000000000004/resourceGroups/rg-qa-004/providers/microsoft.compute/virtualmachinescalesets/virtual-machine-scale--004,virtual-machine-scale--004,microsoft.compute/virtualmachinescalesets,rg-qa-004,westeurope,Review-Utilization,Review utilization,Resource shows optimization opportunity based on current utilization,,,HIGH,MEDIUM,HEURISTIC,FULL,PARTIAL,"Metric1,Metric2,Metric3",digital-channels,customer360,qa,CC1008,15722.5,GP_Gen5_4,4,20.0,running,Moderate,False,72,Mock_2vCPU_10GB,2,10.0,80.0,3898.86,0.0,Medium,RESOLVED
2026-09-10,run-20260910-official-001,FIS-CORP,SUB-CORP-04,/subscriptions/00000004-0004-4004-8004-000000000004/resourceGroups/rg-qa-004/providers/microsoft.compute/virtualmachinescalesets/virtual-machine-scale--004,virtual-machine-scale--004,microsoft.compute/virtualmachinescalesets,rg-qa-004,westeurope,Review-Utilization,Review utilization,Resource shows optimization opportunity based on current utilization,,,HIGH,MEDIUM,HEURISTIC,FULL,PARTIAL,"Metric1,Metric2,Metric3",digital-channels,customer360,qa,CC1008,15722.5,GP_Gen5_4,4,20.0,running,Aggressive,False,80,Mock_1vCPU_5GB,1,5.0,75.7,4896.24,0.0,High,RESOLVED
2026-09-10,run-20260910-official-001,FIS-CORP,SUB-CORP-05,/subscriptions/00000005-0005-4005-8005-000000000005/resourceGroups/rg-prod-005/providers/microsoft.compute/virtualmachinescalesets/virtual-machine-scale--005,virtual-machine-scale--005,microsoft.compute/virtualmachinescalesets,rg-prod-005,centralus,Optimize-Tier,Optimize service tier,Move to a lower-cost tier aligned with observed demand,,,HIGH,HIGH,PRICED,FULL,COMPLETE,,core-banking,risk,prod,CC1002,14321.15,P1v3,2,8.0,running,Conservative,True,65,Mock_1vCPU_4GB,1,4.0,62.2,2656.11,2656.11,Low,RESOLVED
2026-09-10,run-20260910-official-001,FIS-CORP,SUB-CORP-05,/subscriptions/00000005-0005-4005-8005-000000000005/resourceGroups/rg-prod-005/providers/microsoft.compute/virtualmachinescalesets/virtual-machine-scale--005,virtual-machine-scale--005,microsoft.compute/virtualmachinescalesets,rg-prod-005,centralus,Optimize-Tier,Optimize service tier,Move to a lower-cost tier aligned with observed demand,,,HIGH,HIGH,PRICED,FULL,COMPLETE,,core-banking,risk,prod,CC1002,14321.15,P1v3,2,8.0,running,Moderate,False,72,Mock_1vCPU_4GB,1,4.0,70.5,3263.22,0.0,Medium,RESOLVED
2026-09-10,run-20260910-official-001,FIS-CORP,SUB-CORP-05,/subscriptions/00000005-0005-4005-8005-000000000005/resourceGroups/rg-prod-005/providers/microsoft.compute/virtualmachinescalesets/virtual-machine-scale--005,virtual-machine-scale--005,microsoft.compute/virtualmachinescalesets,rg-prod-005,centralus,Optimize-Tier,Optimize service tier,Move to a lower-cost tier aligned with observed demand,,,HIGH,HIGH,PRICED,FULL,COMPLETE,,core-banking,risk,prod,CC1002,14321.15,P1v3,2,8.0,running,Aggressive,False,80,Mock_1vCPU_2GB,1,2.0,78.2,4098.0,0.0,High,RESOLVED
2026-09-10,run-20260910-official-001,FIS-CORP,SUB-CORP-07,/subscriptions/00000007-0007-4007-8007-000000000007/resourceGroups/rg-dev-007/providers/microsoft.compute/virtualmachinescalesets/virtual-machine-scale--007,virtual-machine-scale--007,microsoft.compute/virtualmachinescalesets,rg-dev-007,brazilsouth,Optimize-Tier,Optimize service tier,Move to a lower-cost tier aligned with observed demand,,,MEDIUM,LOW,PRICED,FULL,PARTIAL,Metric1,cloud-platform,analytics,dev,CC1006,5453.8,GP_Gen5_8,8,40.0,running,Conservative,True,65,Mock_4vCPU_20GB,4,20.0,61.4,586.59,586.59,Low,RESOLVED
2026-09-10,run-20260910-official-001,FIS-CORP,SUB-CORP-07,/subscriptions/00000007-0007-4007-8007-000000000007/resourceGroups/rg-dev-007/providers/microsoft.compute/virtualmachinescalesets/virtual-machine-scale--007,virtual-machine-scale--007,microsoft.compute/virtualmachinescalesets,rg-dev-007,brazilsouth,Optimize-Tier,Optimize service tier,Move to a lower-cost tier aligned with observed demand,,,MEDIUM,LOW,PRICED,FULL,PARTIAL,Metric1,cloud-platform,analytics,dev,CC1006,5453.8,GP_Gen5_8,8,40.0,running,Moderate,False,72,Mock_4vCPU_20GB,4,20.0,75.1,720.66,0.0,Medium,RESOLVED
