rundate,RunId,RunStatus,RunScope,DataQualityStatus,IsPublishable,TenantName,SubscriptionName,ResourceId,ResourceName,ResourceType,ResourceGroup,Location,RecommendationAction,ActionLabel,SecondaryAction,Priority,Confidence,SavingsReliability,CostCoverageStatus,MetricCollectionStatus,MissingMetrics,TagOwner,MonthlyCost,CurrentSku,CurrentVCpus,CurrentMemoryGB,PowerState,Profile,IsPrimaryProfile,TargetUtilizationPct,TargetSku,TargetVCpus,TargetMemoryGB,ProjectedPeakPct,MonthlySavings,OfficialConservativeSavings,PerformanceRisk,Status
2026-09-06,run-20260906-official-001,SUCCEEDED,FULL,OK,true,NORTHSTAR-CLOUD,SUB-NORTHSTAR-005,/subscriptions/3b10ab8a-e157-5d07-984f-7e512fc3a495/resourceGroups/rg-shared-0173/providers/microsoft.apimanagement/gateways/api-management-gateway-0005-00005,api-management-gateway-0005-00005,microsoft.apimanagement/gateways,rg-shared-0173,brazilsouth,Review-Utilization,Review utilization,,LOW,HIGH,UNPRICED,FULL,PARTIAL,"Metric1,Metric2",integration,4009.41,GP_Gen5_4,4,20.0,,Conservative,true,65,Mock_2vCPU_10GB,2,10.0,62.6,346.41,346.41,Low,RESOLVED
2026-09-06,run-20260906-official-001,SUCCEEDED,FULL,OK,true,NORTHSTAR-CLOUD,SUB-NORTHSTAR-005,/subscriptions/3b10ab8a-e157-5d07-984f-7e512fc3a495/resourceGroups/rg-shared-0173/providers/microsoft.apimanagement/gateways/api-management-gateway-0005-00005,api-management-gateway-0005-00005,microsoft.apimanagement/gateways,rg-shared-0173,brazilsouth,Review-Utilization,Review utilization,,LOW,HIGH,UNPRICED,FULL,PARTIAL,"Metric1,Metric2",integration,4009.41,GP_Gen5_4,4,20.0,,Moderate,false,72,Mock_2vCPU_10GB,2,10.0,71.7,433.02,0.0,Medium,RESOLVED
2026-09-06,run-20260906-official-001,SUCCEEDED,FULL,OK,true,NORTHSTAR-CLOUD,SUB-NORTHSTAR-005,/subscriptions/3b10ab8a-e157-5d07-984f-7e512fc3a495/resourceGroups/rg-shared-0173/providers/microsoft.apimanagement/gateways/api-management-gateway-0005-00005,api-management-gateway-0005-00005,microsoft.apimanagement/gateways,rg-shared-0173,brazilsouth,Review-Utilization,Review utilization,,LOW,HIGH,UNPRICED,FULL,PARTIAL,"Metric1,Metric2",integration,4009.41,GP_Gen5_4,4,20.0,,Aggressive,false,80,Mock_1vCPU_5GB,1,5.0,74.1,538.86,0.0,High,RESOLVED
2026-09-06,run-20260906-official-001,SUCCEEDED,FULL,OK,true,NORTHSTAR-CLOUD,SUB-NORTHSTAR-007,/subscriptions/b53151ed-0f8d-59fe-bd1f-eaaa82a84ee6/resourceGroups/rg-shared-0059/providers/microsoft.apimanagement/gateways/api-management-gateway-0007-00007,api-management-gateway-0007-00007,microsoft.apimanagement/gateways,rg-shared-0059,northeurope,Evaluate-Idle,Evaluate idle resource,Downsize,HIGH,LOW,PRICED,FULL,PARTIAL,"Metric1,Metric2,Metric3",cloud-platform,27302.05,Standard_D2s_v5,2,8.0,,Conservative,true,65,Mock_1vCPU_4GB,1,4.0,67.3,4978.48,4978.48,Low,RESOLVED
2026-09-06,run-20260906-official-001,SUCCEEDED,FULL,OK,true,NORTHSTAR-CLOUD,SUB-NORTHSTAR-007,/subscriptions/b53151ed-0f8d-59fe-bd1f-eaaa82a84ee6/resourceGroups/rg-shared-0059/providers/microsoft.apimanagement/gateways/api-management-gateway-0007-00007,api-management-gateway-0007-00007,microsoft.apimanagement/gateways,rg-shared-0059,northeurope,Evaluate-Idle,Evaluate idle resource,Downsize,HIGH,LOW,PRICED,FULL,PARTIAL,"Metric1,Metric2,Metric3",cloud-platform,27302.05,Standard_D2s_v5,2,8.0,,Moderate,false,72,Mock_1vCPU_4GB,1,4.0,81.7,6223.1,0.0,Medium,RESOLVED
2026-09-06,run-20260906-official-001,SUCCEEDED,FULL,OK,true,NORTHSTAR-CLOUD,SUB-NORTHSTAR-007,/subscriptions/b53151ed-0f8d-59fe-bd1f-eaaa82a84ee6/resourceGroups/rg-shared-0059/providers/microsoft.apimanagement/gateways/api-management-gateway-0007-00007,api-management-gateway-0007-00007,microsoft.apimanagement/gateways,rg-shared-0059,northeurope,Evaluate-Idle,Evaluate idle resource,Downsize,HIGH,LOW,PRICED,FULL,PARTIAL,"Metric1,Metric2,Metric3",cloud-platform,27302.05,Standard_D2s_v5,2,8.0,,Aggressive,false,80,Mock_1vCPU_2GB,1,2.0,87.5,7744.3,0.0,High,RESOLVED
2026-09-06,run-20260906-official-001,SUCCEEDED,FULL,OK,true,NORTHSTAR-CLOUD,SUB-NORTHSTAR-008,/subscriptions/03658e05-e286-5468-8369-30ee7b6f01e6/resourceGroups/rg-dev-0008/providers/microsoft.apimanagement/gateways/api-management-gateway-0008-00008,api-management-gateway-0008-00008,microsoft.apimanagement/gateways,rg-dev-0008,westus2,Optimize-Tier,Optimize service tier,,HIGH,MEDIUM,PRICED,FULL,PARTIAL,Metric1,analytics,12399.10,Standard_D4s_v5,4,16.0,,Conservative,true,65,Mock_2vCPU_8GB,2,8.0,70.6,2779.91,2779.91,Low,RESOLVED
2026-09-06,run-20260906-official-001,SUCCEEDED,FULL,OK,true,NORTHSTAR-CLOUD,SUB-NORTHSTAR-008,/subscriptions/03658e05-e286-5468-8369-30ee7b6f01e6/resourceGroups/rg-dev-0008/providers/microsoft.apimanagement/gateways/api-management-gateway-0008-00008,api-management-gateway-0008-00008,microsoft.apimanagement/gateways,rg-dev-0008,westus2,Optimize-Tier,Optimize service tier,,HIGH,MEDIUM,PRICED,FULL,PARTIAL,Metric1,analytics,12399.10,Standard_D4s_v5,4,16.0,,Moderate,false,72,Mock_2vCPU_8GB,2,8.0,83.7,3474.88,0.0,Medium,RESOLVED
2026-09-06,run-20260906-official-001,SUCCEEDED,FULL,OK,true,NORTHSTAR-CLOUD,SUB-NORTHSTAR-008,/subscriptions/03658e05-e286-5468-8369-30ee7b6f01e6/resourceGroups/rg-dev-0008/providers/microsoft.apimanagement/gateways/api-management-gateway-0008-00008,api-management-gateway-0008-00008,microsoft.apimanagement/gateways,rg-dev-0008,westus2,Optimize-Tier,Optimize service tier,,HIGH,MEDIUM,PRICED,FULL,PARTIAL,Metric1,analytics,12399.10,Standard_D4s_v5,4,16.0,,Aggressive,false,80,Mock_1vCPU_4GB,1,4.0,85.3,4324.3,0.0,High,RESOLVED
2026-09-06,run-20260906-official-001,SUCCEEDED,FULL,OK,true,NORTHSTAR-CLOUD,SUB-NORTHSTAR-009,/subscriptions/1fd36c0c-a73c-591e-8489-b7957e2de2c1/resourceGroups/rg-qa-0009/providers/microsoft.apimanagement/gateways/api-management-gateway-0009-00009,api-management-gateway-0009-00009,microsoft.apimanagement/gateways,rg-qa-0009,uksouth,Review-Utilization,Review utilization,,LOW,MEDIUM,PRICED,FULL,PARTIAL,Metric1,core-services,1486.86,S3,4,7.0,,Conservative,true,65,Mock_2vCPU_3GB,2,3.5,61.0,128.46,128.46,Low,RESOLVED
2026-09-06,run-20260906-official-001,SUCCEEDED,FULL,OK,true,NORTHSTAR-CLOUD,SUB-NORTHSTAR-009,/subscriptions/1fd36c0c-a73c-591e-8489-b7957e2de2c1/resourceGroups/rg-qa-0009/providers/microsoft.apimanagement/gateways/api-management-gateway-0009-00009,api-management-gateway-0009-00009,microsoft.apimanagement/gateways,rg-qa-0009,uksouth,Review-Utilization,Review utilization,,LOW,MEDIUM,PRICED,FULL,PARTIAL,Metric1,core-services,1486.86,S3,4,7.0,,Moderate,false,72,Mock_2vCPU_3GB,2,3.5,73.8,160.58,0.0,Medium,RESOLVED
2026-09-06,run-20260906-official-001,SUCCEEDED,FULL,OK,true,NORTHSTAR-CLOUD,SUB-NORTHSTAR-009,/subscriptions/1fd36c0c-a73c-591e-8489-b7957e2de2c1/resourceGroups/rg-qa-0009/providers/microsoft.apimanagement/gateways/api-management-gateway-0009-00009,api-management-gateway-0009-00009,microsoft.apimanagement/gateways,rg-qa-0009,uksouth,Review-Utilization,Review utilization,,LOW,MEDIUM,PRICED,FULL,PARTIAL,Metric1,core-services,1486.86,S3,4,7.0,,Aggressive,false,80,Mock_1vCPU_1GB,1,1.8,81.7,199.83,0.0,High,RESOLVED
2026-09-06,run-20260906-official-001,SUCCEEDED,FULL,OK,true,NORTHSTAR-CLOUD,SUB-NORTHSTAR-013,/subscriptions/bed10678-9153-5fb7-a267-798453c452aa/resourceGroups/rg-dev-0013/providers/microsoft.apimanagement/gateways/api-management-gateway-0013-00013,api-management-gateway-0013-00013,microsoft.apimanagement/gateways,rg-dev-0013,westus2,Review-Utilization,Review utilization,,HIGH,HIGH,PRICED,FULL,PARTIAL,Metric1,payments,9148.17,Standard_D4s_v5,4,16.0,,Conservative,true,65,Mock_2vCPU_8GB,2,8.0,70.7,2801.97,2801.97,Low,RESOLVED
2026-09-06,run-20260906-official-001,SUCCEEDED,FULL,OK,true,NORTHSTAR-CLOUD,SUB-NORTHSTAR-013,/subscriptions/bed10678-9153-5fb7-a267-798453c452aa/resourceGroups/rg-dev-0013/providers/microsoft.apimanagement/gateways/api-management-gateway-0013-00013,api-management-gateway-0013-00013,microsoft.apimanagement/gateways,rg-dev-0013,westus2,Review-Utilization,Review utilization,,HIGH,HIGH,PRICED,FULL,PARTIAL,Metric1,payments,9148.17,Standard_D4s_v5,4,16.0,,Moderate,false,72,Mock_2vCPU_8GB,2,8.0,79.8,3502.47,0.0,Medium,RESOLVED
2026-09-06,run-20260906-official-001,SUCCEEDED,FULL,OK,true,NORTHSTAR-CLOUD,SUB-NORTHSTAR-013,/subscriptions/bed10678-9153-5fb7-a267-798453c452aa/resourceGroups/rg-dev-0013/providers/microsoft.apimanagement/gateways/api-management-gateway-0013-00013,api-management-gateway-0013-00013,microsoft.apimanagement/gateways,rg-dev-0013,westus2,Review-Utilization,Review utilization,,HIGH,HIGH,PRICED,FULL,PARTIAL,Metric1,payments,9148.17,Standard_D4s_v5,4,16.0,,Aggressive,false,80,Mock_1vCPU_4GB,1,4.0,88.4,4358.63,0.0,High,RESOLVED
2026-09-06,run-20260906-official-001,SUCCEEDED,FULL,OK,true,NORTHSTAR-CLOUD,SUB-NORTHSTAR-016,/subscriptions/95353bbf-2547-565f-975e-d4b1495a9fa1/resourceGroups/rg-prod-0016/providers/microsoft.apimanagement/gateways/api-management-gateway-0016-00016,api-management-gateway-0016-00016,microsoft.apimanagement/gateways,rg-prod-0016,northeurope,Evaluate-Idle,Evaluate idle resource,Downsize,HIGH,HIGH,HEURISTIC,FULL,PARTIAL,Metric1,customer-experience,18546.35,P1v3,2,8.0,,Conservative,true,65,Mock_1vCPU_4GB,1,4.0,66.1,2785.26,2785.26,Low,RESOLVED
2026-09-06,run-20260906-official-001,SUCCEEDED,FULL,OK,true,NORTHSTAR-CLOUD,SUB-NORTHSTAR-016,/subscriptions/95353bbf-2547-565f-975e-d4b1495a9fa1/resourceGroups/rg-prod-0016/providers/microsoft.apimanagement/gateways/api-management-gateway-0016-00016,api-management-gateway-0016-00016,microsoft.apimanagement/gateways,rg-prod-0016,northeurope,Evaluate-Idle,Evaluate idle resource,Downsize,HIGH,HIGH,HEURISTIC,FULL,PARTIAL,Metric1,customer-experience,18546.35,P1v3,2,8.0,,Moderate,false,72,Mock_1vCPU_4GB,1,4.0,73.9,3481.58,0.0,Medium,RESOLVED
2026-09-06,run-20260906-official-001,SUCCEEDED,FULL,OK,true,NORTHSTAR-CLOUD,SUB-NORTHSTAR-016,/subscriptions/95353bbf-2547-565f-975e-d4b1495a9fa1/resourceGroups/rg-prod-0016/providers/microsoft.apimanagement/gateways/api-management-gateway-0016-00016,api-management-gateway-0016-00016,microsoft.apimanagement/gateways,rg-prod-0016,northeurope,Evaluate-Idle,Evaluate idle resource,Downsize,HIGH,HIGH,HEURISTIC,FULL,PARTIAL,Metric1,customer-experience,18546.35,P1v3,2,8.0,,Aggressive,false,80,Mock_1vCPU_2GB,1,2.0,76.6,4332.63,0.0,High,RESOLVED
2026-09-06,run-20260906-official-001,SUCCEEDED,FULL,OK,true,NORTHSTAR-CLOUD,SUB-NORTHSTAR-017,/subscriptions/60326139-9969-5597-81b3-23c2df94179f/resourceGroups/rg-nonprod-0017/providers/microsoft.apimanagement/gateways/api-management-gateway-0017-00017,api-management-gateway-0017-00017,microsoft.apimanagement/gateways,rg-nonprod-0017,eastus2,Evaluate-Idle,Evaluate idle resource,Downsize,MEDIUM,HIGH,PRICED,FULL,PARTIAL,Metric1,customer-experience,4068.46,Standard_D8s_v5,8,32.0,,Conservative,true,65,Mock_4vCPU_16GB,4,16.0,73.4,1248.09,1248.09,Low,RESOLVED
